model,family,openness,release_date,link
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,Open-weight,2025-01-20,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B
DeepSeek-V2.5,DeepSeek,Open-weight,2024-09-05,deepseek-ai/DeepSeek-V2.5
DeepSeek-V3,DeepSeek,Open-weight,2024-12-26,deepseek-ai/DeepSeek-V3
DeepSeek-V3-671B,DeepSeek,Open-weight,2024-12-25,deepseek-ai/DeepSeek-V3
DeepSeek-V3.1,DeepSeek,Open-weight,2025-08-21,deepseek-ai/DeepSeek-V3.1
DeepSeek-V3.2,DeepSeek,Open-weight,2025-12-01,deepseek-ai/DeepSeek-V3.2
DeepSeek-V3.2-Thinking,DeepSeek,Open-weight,2025-12-01,deepseek-ai/DeepSeek-V3.2
DeepSeek-V4-Pro,DeepSeek,Open-weight,2026-04-24,deepseek-ai/DeepSeek-V4-Pro
DeepSeekR1-0528-Qwen3-8B,DeepSeek,Open-weight,2025-05-28,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B
DeSTA2.5-Audio,DeSTA2 5,Open-weight,2025-07-01,DeSTA-ntu/DeSTA2.5-Audio-Llama-3.1-8B
Dianjin-R1-7B,Dianjin,Open-weight,2025-03-01,DianJin/DianJin-R1-7B
DIVA,DIVA,Open-weight,2024-06-01,WillHeld/DiVA-llama-3-v0-8b
Dolly-V2-7B,Dolly,Open-source,2023-04-12,databricks/dolly-v2-7b
Dolly-V2-12B,Dolly,Open-source,2023-04-12,databricks/dolly-v2-12b
eCeLLM-M,eCeLLM,Open-weight,2024-06-01,NingLab/eCeLLM-M
Ernie-4.5-21B,ERNIE,Open-weight,2025-06-25,baidu/ERNIE-4.5-21B-A3B-PT
EuroLLM-1.7B-Instruct,EuroLLM,Open-weight,2024-11-05,utter-project/EuroLLM-1.7B-Instruct
EuroLLM-9B-Instruct,EuroLLM,Open-weight,2024-11-05,utter-project/EuroLLM-9B-Instruct
Exaone-4.0.1-32B,Exaone,Open-weight,2025-07-15,LGAI-EXAONE/EXAONE-4.0.1-32B
Fable-5,Fable,Closed,2026-06-09,https://www.anthropic.com/claude
Falcon-7B-Instruct,Falcon,Open-weight,2023-05-24,tiiuae/falcon-7b-instruct
Falcon3-7B-Instruct,Falcon,Open-weight,2024-12-17,tiiuae/Falcon3-7B-Instruct
Fanar-1-9B,Fanar,Open-weight,2025-06-01,QCRI/Fanar-1-9B-Instruct
Fin-R1,Fin,Open-weight,2025-03-01,SUFE-AIFLM-Lab/Fin-R1
Flan-T5,Flan,Open-weight,2022-10-21,google/flan-t5-base
GAMA,GAMA,Open-weight,2023-06-15,
GAMA-IT,GAMA,Open-weight,2023-06-15,
Gemini-1.5-Flash,Gemini,Closed,,
Gemini-1.5-Pro,Gemini,Closed,2024-02-15,https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro
Gemini-2.0-Flash,Gemini,Closed,2024-12-11,https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash
Gemini-2.5-Flash,Gemini,Closed,2025-04-17,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash
Gemini-2.5-Flash-Lite,Gemini,Closed,2025-06-17,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite
Gemini-2.5-Pro,Gemini,Closed,2025-03-25,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro
Gemini-3-Flash,Gemini,Closed,2025-12-17,https://ai.google.dev/gemini-api/docs/models
Gemini-3-Pro,Gemini,Closed,2025-11-18,https://ai.google.dev/gemini-api/docs/models
Gemini-3-Pro-Preview,Gemini,Closed,2025-11-18,https://ai.google.dev/gemini-api/docs/models
Gemini-3-Pro-Preview-Thinking,Gemini,Closed,2025-11-18,https://ai.google.dev/gemini-api/docs/models
Gemini-3.1-Flash-Lite,Gemini,Closed,2026-03-03,https://ai.google.dev/gemini-api/docs/models
Gemini-3.1-Pro,Gemini,Closed,2026-02-19,https://ai.google.dev/gemini-api/docs/models
Gemini-3.5-Flash,Gemini,Closed,2026-05-19,https://ai.google.dev/gemini-api/docs/models
Gemini-3.5-Flash-Lite,Gemini,Closed,2026-05-19,https://ai.google.dev/gemini-api/docs/models
Gemini-3.7-Flash,Gemini,Closed,2026-08-13,https://ai.google.dev/gemini-api/docs/models
Gemma-2,Gemma,Open-weight,,
Gemma-2-2B,Gemma,Open-weight,2024-07-31,google/gemma-2-2b
Gemma-2-9B,Gemma,Open-weight,2024-06-27,google/gemma-2-9b
Gemma-2-9B-IT,Gemma,Open-weight,2024-06-27,google/gemma-2-9b-it
Gemma-2-27B,Gemma,Open-weight,2024-06-24,google/gemma-2-27b
Gemma-2-27B-IT,Gemma,Open-weight,2024-06-27,google/gemma-2-27b-it
Gemma-2B,Gemma,Open-weight,2024-02-08,google/gemma-2b
Gemma-2B-IT,Gemma,Open-weight,2024-02-21,google/gemma-2b-it
Gemma-3,Gemma,Open-weight,,
Gemma-3-12B,Gemma,Open-weight,2025-03-01,google/gemma-3-12b-it
Gemma-3-12B-IT,Gemma,Open-weight,2025-03-12,google/gemma-3-12b-it
Gemma-3-27B,Gemma,Open-weight,2025-03-12,google/gemma-3-27b-pt
Gemma-3-27B-IT,Gemma,Open-weight,2025-03-12,google/gemma-3-27b-it
Gemma-3n,Gemma,Open-weight,2025-06-03,google/gemma-3n-E4B-it
Gemma-3n-E4B-IT,Gemma,Open-weight,2025-06-26,google/gemma-3n-E4B-it
Gemma-4,Gemma,Open-weight,2026-04-02,google/gemma-4-31B-it
Gemma-7B,Gemma,Open-weight,2024-02-21,google/gemma-7b
Gemma-9B,Gemma,Open-weight,2024-06-24,google/gemma-2-9b-it
Gemma-27B,Gemma,Open-weight,2024-06-24,google/gemma-2-27b-it
Gemma-SEA-LION-V3-9B-IT,SEA-LION,Open-weight,2024-12-01,aisingapore/Gemma-SEA-LION-v3-9B-IT
Gemma3-4B,Gemma,Open-weight,2025-03-12,google/gemma-3-4b-it
Glm-4-9B,GLM,Open-weight,2024-04-08,zai-org/glm-4-9b-chat-hf
Glm-4-32B,GLM,Open-weight,2025-04-01,zai-org/GLM-4-32B-0414
Glm-4-Voice,GLM,Open-weight,2024-10-28,THUDM/glm-4-voice-9b
Glm-4.5,GLM,Open-weight,2025-07-28,zai-org/GLM-4.5
Glm-4.5-Air,GLM,Open-weight,2025-07-28,zai-org/GLM-4.5-Air
Glm-4.6-Thinking,GLM,Open-weight,2025-09-30,zai-org/GLM-4.6
Glm-5.1,GLM,Open-weight,2026-04-07,zai-org/GLM-5.1
Glm-5.2,GLM,Open-weight,2026-06-16,zai-org/GLM-5.2
GLM4plus,GLM,Open-weight,,
GPT-2,GPT,Closed,,
GPT-3,GPT,Closed,,
GPT-3.5-Turbo,GPT,Closed,2023-03-01,https://platform.openai.com/docs/models/gpt-3.5-turbo
GPT-3.5-Turbo-0125,GPT,Closed,2024-01-25,https://platform.openai.com/docs/models/gpt-3.5-turbo
GPT-4,GPT,Closed,2023-03-14,https://platform.openai.com/docs/models/gpt-4
GPT-4.1,GPT,Closed,2025-04-14,https://platform.openai.com/docs/models/gpt-4.1
GPT-4.1-Mini,GPT,Closed,2025-04-14,https://platform.openai.com/docs/models/gpt-4.1-mini
GPT-4.1-Nano,GPT,Closed,2025-04-14,https://platform.openai.com/docs/models/gpt-4.1-nano
GPT-4o,GPT,Closed,2024-05-13,https://platform.openai.com/docs/models/gpt-4o
GPT-4o-2024-05-13,GPT,Closed,2024-05-13,https://platform.openai.com/docs/models/gpt-4o
GPT-4o-2024-08-06,GPT,Closed,2024-08-06,https://platform.openai.com/docs/models/gpt-4o
GPT-4o-Audio,GPT,Closed,2024-10-17,https://platform.openai.com/docs/models/gpt-4o-audio
GPT-4o-Mini,GPT,Closed,2024-07-18,https://platform.openai.com/docs/models/gpt-4o-mini
GPT-4o-Mini-Audio,GPT,Closed,2024-10-01,https://platform.openai.com/docs/models/gpt-4o-mini-audio
GPT-5,GPT,Closed,2025-08-07,https://platform.openai.com/docs/models/gpt-5
GPT-5-Mini,GPT,Closed,2025-08-07,https://platform.openai.com/docs/models/gpt-5-mini
GPT-5-Nano,GPT,Closed,2025-08-07,https://platform.openai.com/docs/models/gpt-5-nano
GPT-5.1,GPT,Closed,2025-11-12,https://platform.openai.com/docs/models/gpt-5.1
GPT-5.2,GPT,Closed,2025-12-11,https://platform.openai.com/docs/models/gpt-5.2
GPT-5.2-Thinking,GPT,Closed,2025-12-11,https://platform.openai.com/docs/models/gpt-5.2
GPT-5.4,GPT,Closed,2026-03-05,https://platform.openai.com/docs/models/gpt-5.4
GPT-5.4-Mini,GPT,Closed,2026-03-17,https://platform.openai.com/docs/models/gpt-5.4-mini
GPT-5.4-Nano,GPT,Closed,2026-03-17,https://platform.openai.com/docs/models/gpt-5.4-nano
GPT-5.5,GPT,Closed,2026-04-23,https://platform.openai.com/docs/models/gpt-5.5
GPT-5.6-Luna,GPT,Closed,2026-07-09,https://platform.openai.com/docs/models
GPT-5.6-Sol,GPT,Closed,2026-07-09,https://platform.openai.com/docs/models
GPT-5.6-Terra,GPT,Closed,2026-07-09,https://platform.openai.com/docs/models
GPT-OSS-20B,GPT-OSS,Open-weight,2025-08-05,openai/gpt-oss-20b
GPT-OSS-120B,GPT-OSS,Open-weight,2025-08-05,openai/gpt-oss-120b
Grok-3,Grok,Closed,2025-02-17,https://x.ai/news/grok-3
Grok-3-Mini,Grok,Closed,2025-02-17,https://x.ai/news/grok-3
Grok-4,Grok,Closed,2025-07-09,https://x.ai/news/grok-4
Grok-4-Fast,Grok,Closed,2025-09-19,https://x.ai/news/grok-4
Grok-4.1-Fast,Grok,Closed,2025-12-01,https://x.ai/news/grok-4
Grok-4.2,Grok,Closed,2026-02-17,https://x.ai/news/grok-4
Grok-4.3,Grok,Closed,2026-04-30,https://x.ai/news/grok-4
Grok-4.5,Grok,Closed,2026-07-08,https://x.ai/news/grok-4
HateBERT,HateBERT,Open-weight,2021-08-09,GroNLP/hateBERT
InternLM3-8B,InternLM,Open-weight,2025-01-15,internlm/internlm3-8b-instruct
Jais-6.7B,Jais,Open-weight,2023-08-23,inceptionai/jais-6.7b
Jais-13B,Jais,Open-weight,2023-08-23,inceptionai/jais-13b-chat
Kimi-Audio,Kimi,Open-weight,2025-04-25,moonshotai/Kimi-Audio-7B-Instruct
Kimi-K2,Kimi,Open-weight,2025-07-11,moonshotai/Kimi-K2-Instruct
Kimi-K2-0905,Kimi,Open-weight,2025-09-05,moonshotai/Kimi-K2-Instruct-0905
Kimi-K2-Thinking,Kimi,Open-weight,2025-11-04,moonshotai/Kimi-K2-Thinking
Kimi-K2.5,Kimi,Open-weight,2026-01-27,moonshotai/Kimi-K2.5
Kimi-K2.6,Kimi,Open-weight,2026-04-20,moonshotai/Kimi-K2.6
Kimi-K3,Kimi,Open-weight,2026-07-16,moonshotai/Kimi-K3
Latxa-Llama-3.1-8B-Instruct,Llama,Open-weight,2024-07-23,HiTZ/latxa-llama-3.1-8b-instruct
LearnLM-1.5-Pro,LearnLM,Closed,2024-11-19,https://ai.google.dev/gemma/docs/learnlm
Llama-2-7B,Llama,Open-weight,2023-07-13,meta-llama/Llama-2-7b-hf
Llama-2-7B-Chat,Llama,Open-weight,2023-07-18,meta-llama/Llama-2-7b-chat-hf
Llama-2-13B-Chat,Llama,Open-weight,2023-07-18,meta-llama/Llama-2-13b-chat-hf
Llama-3-8B,Llama,Open-weight,2024-04-17,meta-llama/Meta-Llama-3-8B
Llama-3-8Binstruct,Llama,Open-weight,2024-04-18,meta-llama/Meta-Llama-3-8B-Instruct
Llama-3-70B,Llama,Open-weight,2024-04-18,meta-llama/Meta-Llama-3-70B
Llama-3-70B-Instruct,Llama,Open-weight,2024-04-18,meta-llama/Meta-Llama-3-70B-Instruct
Llama-3-ELYZA-JP-8B,Llama,Open-weight,2024-06-26,elyza/Llama-3-ELYZA-JP-8B
Llama-3.1-8B,Llama,Open-weight,2024-07-23,meta-llama/Llama-3.1-8B
Llama-3.1-8B-Instruct,Llama,Open-weight,2024-07-23,meta-llama/Llama-3.1-8B-Instruct
Llama-3.1-70B,Llama,Open-weight,2024-07-23,meta-llama/Llama-3.1-70B
Llama-3.1-70B-Instruct,Llama,Open-weight,2024-07-23,meta-llama/Llama-3.1-70B-Instruct
Llama-3.1-405B,Llama,Open-weight,2024-07-23,meta-llama/Llama-3.1-405B
Llama-3.1-Tulu-3.1-8B,Llama,Open-weight,2025-02-07,allenai/Llama-3.1-Tulu-3.1-8B
Llama-3.2-1B,Llama,Open-weight,2024-09-25,meta-llama/Llama-3.2-1B
Llama-3.2-3B,Llama,Open-weight,2024-09-25,meta-llama/Llama-3.2-3B
Llama-3.3-70B,Llama,Open-weight,2024-11-26,meta-llama/Llama-3.3-70B-Instruct
Llama-3.3-70B-Instruct,Llama,Open-weight,2024-12-06,meta-llama/Llama-3.3-70B-Instruct
Llama-3.3-70B-Instruct-Turbo,Llama,Open-weight,2024-11-26,meta-llama/Llama-3.3-70B-Instruct
Llama-3B,Llama,Open-weight,2024-04-18,
Llama-4-Maverick,Llama,Open-weight,2025-04-05,meta-llama/Llama-4-Maverick-17B-128E-Instruct
Llama-4-Maverick-17B-128E-Instruct-FP8,Llama,Open-weight,2025-04-05,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8
Llama-4-Scout,Llama,Open-weight,2025-04-02,meta-llama/Llama-4-Scout-17B-16E-Instruct
Llama-4-Scout-17B-16E,Llama,Open-weight,2025-04-05,meta-llama/Llama-4-Scout-17B-16E
Llama-4-Scout-17B-16E-Instruct,Llama,Open-weight,2025-04-05,meta-llama/Llama-4-Scout-17B-16E-Instruct
Llama-8B,Llama,Open-weight,2024-04-18,
Llama-70B,Llama,Open-weight,,
Llama-Jp-3-7.2B-Instruct,Llama,Open-weight,2024-06-01,llm-jp/llm-jp-3-7.2b-instruct3
Llama-SEA-LION-V3-8B-IT,SEA-LION,Open-weight,2024-12-01,aisingapore/Llama-SEA-LION-v3-8B-IT
Llama-SEA-LION-V3-70B-IT,SEA-LION,Open-weight,2024-12-01,aisingapore/Llama-SEA-LION-v3-70B-IT
LLaMAntino-3-ANITA-8B-Inst-DPO-ITA,Llama,Open-weight,2024-04-18,swap-uniba/LLaMAntino-3-ANITA-8B-Inst-DPO-ITA
LongCat-Flash-Chat,LongCat,Open-weight,2025-09-01,meituan-longcat/LongCat-Flash-Chat
LTU,LTU,Open-weight,2023-05-18,Audio-AGI/Audio-LLM-LTU
Lyra,Lyra,Open-weight,2025-08-27,nvidia/Lyra
M2M-100,M2M 100,Open-weight,2021-03-05,facebook/m2m100_418M
M2UGen,M2UGen,Open-weight,2023-11-25,M2UGen/M2UGen-MusicGen-medium
mBERT,mBERT,Open-weight,2018-11-30,google-bert/bert-base-multilingual-cased
MedGemma-4B,MedGemma,Open-weight,2025-05-19,google/medgemma-4b-it
Megrez-3B-Omni,Megrez,Open-weight,2024-12-16,Infinigence/Megrez-3B-Omni
MERaLiON,MERaLiON,Open-weight,2024-08-01,MERaLiON/MERaLiON-AudioLLM-Whisper-SEA-LION
MERaLiON2,MERaLiON2,Open-weight,2025-03-01,MERaLiON/MERaLiON-2-10B
Mimo-Audio,MiMo,Open-weight,2025-09-20,XiaomiMiMo/MiMo-Audio-7B-Instruct
Minerva-7B-Instruct-V1.0,Minerva,Open-weight,2024-05-01,sapienzanlp/Minerva-7B-instruct-v1.0
MiniCPM-O,MiniCPM,Open-weight,2025-01-16,openbmb/MiniCPM-o-2_6
MiniMax-M1,MiniMax,Open-weight,2025-06-17,MiniMaxAI/MiniMax-M1-80k
Ministral,Mistral,Open-weight,2024-10-16,mistralai/Ministral-8B-Instruct-2410
Ministral-8B,Mistral,Open-weight,2024-10-16,mistralai/Ministral-8B-Instruct-2410
Ministral-8B-Instruct-2410,Mistral,Open-weight,2024-10-10,mistralai/Ministral-8B-Instruct-2410
Mistral-7B,Mistral,Open-weight,2023-09-27,mistralai/Mistral-7B-v0.1
Mistral-7B-Instruct,Mistral,Open-weight,2023-09-27,mistralai/Mistral-7B-Instruct-v0.1
Mistral-7B-Instruct-V0.2,Mistral,Open-weight,2024-03-23,mistralai/Mistral-7B-Instruct-v0.2
Mistral-7B-Instruct-V0.3,Mistral,Open-weight,2024-05-22,mistralai/Mistral-7B-Instruct-v0.3
Mistral-7B-V0.3,Mistral,Open-weight,2024-05-22,mistralai/Mistral-7B-v0.3
Mistral-8B,Mistral,Open-weight,,
Mistral-Large,Mistral,Open-weight,2024-07-24,mistralai/Mistral-Large-Instruct-2407
Mistral-Large-2,Mistral,Open-weight,2024-07-24,mistralai/Mistral-Large-Instruct-2407
Mistral-Medium,Mistral,Open-weight,2025-08-12,mistralai/Mistral-Medium-3.1
Mistral-Medium-3,Mistral,Open-weight,2025-08-12,mistralai/Mistral-Medium-3.1
Mistral-Medium-3.1,Mistral,Open-weight,2025-08-06,mistralai/Mistral-Medium-3.1
Mistral-Nemo-12B,Mistral,Open-weight,2024-07-18,mistralai/Mistral-Nemo-Instruct-2407
Mistral-Saba,Mistral,Open-weight,2025-02-17,mistralai/Mistral-Saba-24B
Mistral-Small-3.1-24B,Mistral,Open-weight,2025-03-17,mistralai/Mistral-Small-3.1-24B-Instruct-2503
Mistral-Small-24B,Mistral,Open-weight,2024-09-17,mistralai/Mistral-Small-Instruct-2409
Mistral-V1,Mistral,Open-weight,,
Mixtral-8x7B,Mixtral,Open-weight,2023-12-11,mistralai/Mixtral-8x7B-v0.1
Mixtral-8x7B-Instruct-V0.1,Mixtral,Open-weight,2023-12-11,mistralai/Mixtral-8x7B-Instruct-v0.1
Mixtral-8x22B,Mixtral,Open-weight,2024-04-17,mistralai/Mixtral-8x22B-v0.1
Mixtral-8x22B-Instruct-V0.1,Mixtral,Open-weight,2024-04-17,mistralai/Mixtral-8x22B-Instruct-v0.1
ModernBERT-Large,ModernBERT,Open-weight,2024-12-11,answerdotai/ModernBERT-large
MuLLaMa,MuLLaMa,Open-weight,2023-06-15,mu-llama/MU-LLaMA
Muse-Spark-1.1,Muse,Closed,2026-07-09,https://deepmind.google/models/
MusiLingo,MusiLingo,Open-weight,2023-11-15,m-a-p/MusiLingo-short-v1
Nemotron-3-Ultra,Nemotron 3,Open-weight,2026-06-04,nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16
Nova-2-Omni,Nova,Closed,2025-12-02,https://aws.amazon.com/about-aws/whats-new/2025/12/amazon-nova-2-omni-preview/
Nova-Pro-V1,Nova,Closed,2024-12-05,https://aws.amazon.com/ai/generative-ai/nova/
o1,GPT,Closed,2024-12-05,https://platform.openai.com/docs/models/o1
o1-Mini,GPT,Closed,2024-09-12,https://platform.openai.com/docs/models/o1-mini
o1-Preview,GPT,Closed,,
o1-Preview-2024-09-12,GPT,Closed,2024-09-12,https://platform.openai.com/docs/models/o1-preview
o3,GPT,Closed,2025-04-16,https://platform.openai.com/docs/models/o3
o3-2025-04-16,GPT,Closed,2025-04-16,https://platform.openai.com/docs/models/o3
o3-Mini,GPT,Closed,2025-01-31,https://platform.openai.com/docs/models/o3-mini
o4-Mini,GPT,Closed,2025-04-16,https://platform.openai.com/docs/models/o4-mini
Occiglot-7B-Es-En-Instruct,Occiglot,Open-weight,2024-03-01,occiglot/occiglot-7b-es-en-instruct
Occiglot-7B-Eu5-Instruct,Occiglot,Open-weight,2024-03-01,occiglot/occiglot-7b-eu5-instruct
Olmo-2-1124-7B-Instruct,OLMo,Open-source,2024-11-26,allenai/OLMo-2-1124-7B-Instruct
Olmo-2-1124-13B-Instruct,OLMo,Open-source,2024-11-26,allenai/OLMo-2-1124-13B-Instruct
Olmo-3-32B-Base,OLMo,Open-source,2025-11-20,allenai/Olmo-3-1125-32B
Olmo-3.1-32B-Instruct,OLMo,Open-source,2025-12-12,allenai/Olmo-3.1-32B-Instruct
Olmo-3.1-32B-Instruct-DPO,OLMo,Open-source,,
Olmo-7B,OLMo,Open-source,,
Olmo-7B-0724-Instruct-HF,OLMo,Open-source,2024-07-16,allenai/OLMo-7B-0724-Instruct-hf
OLMoE-1B-7B-0125-Instruct,OLMo,Open-source,2025-01-21,allenai/OLMoE-1B-7B-0125-Instruct
Pangea-7B,Pangea,Open-weight,2024-10-21,neulab/Pangea-7B
Phi-3,Phi,Open-weight,2024-04-22,microsoft/Phi-3-mini-4k-instruct
Phi-4,Phi,Open-weight,2024-12-12,microsoft/phi-4
Phi-4-Mini,Phi,Open-weight,2025-02-26,microsoft/Phi-4-mini-instruct
Phi-4-Multimodal,Phi,Open-weight,2025-02-26,microsoft/Phi-4-multimodal-instruct
Qvq-72B-Preview,QVQ,Open-weight,2024-12-25,Qwen/QVQ-72B-Preview
Qwen-2.5-Base,Qwen,Open-weight,,
Qwen-2.5-Instruct-32B,Qwen,Open-weight,2024-09-17,Qwen/Qwen2.5-32B-Instruct
Qwen-3-30B-MoE,Qwen,Open-weight,2025-04-27,Qwen/Qwen3-30B-A3B
Qwen-3.7-Flash,Qwen,Open-weight,,
Qwen-3.7-Plus,Qwen,Open-weight,,
Qwen-7B,Qwen,Open-weight,,
Qwen-14B,Qwen,Open-weight,,
Qwen-32B,Qwen,Open-weight,,
Qwen-72B,Qwen,Open-weight,2023-11-26,Qwen/Qwen-72B
Qwen-Audio-Chat,Qwen,Open-weight,2023-11-30,Qwen/Qwen-Audio-Chat
Qwen1.5-72B,Qwen,Open-weight,2024-01-23,Qwen/Qwen1.5-72B
Qwen2-7B,Qwen,Open-weight,2024-06-04,Qwen/Qwen2-7B
Qwen2-72B,Qwen,Open-weight,2024-05-22,Qwen/Qwen2-72B
Qwen2-Audio,Qwen,Open-weight,2024-08-09,Qwen/Qwen2-Audio-7B
Qwen2-Audio-Instruct,Qwen,Open-weight,2024-08-09,Qwen/Qwen2-Audio-7B-Instruct
